feature_name,importance_score
eth.dst,0.99904794
eth,0.9901394
root,0.97427523
tcp,0.93185943
eth.type,0.91757196
eth.dst.ig,0.8963303
eth.dst.lg,0.8923717
tcp.dstport,0.89083636
tcp.len,0.86579055
tcp.srcport,0.85395825
ip.src,0.85179377
ip.dst,0.82474756
ip.flags,0.8203133
eth.src,0.8115868
ip.hdr_len,0.8072088
tcp.flags.reset,0.8055156
tcp.flags.cwr,0.7994092
tcp.window_size_value,0.7991785
ip.len,0.7790004
eth.src.lg,0.77074784
tcp.urgent_pointer,0.765131
tcp.flags.syn,0.76388633
ip.ttl,0.7530622
tcp.window_size,0.751778
tcp.window_size_scalefactor,0.7219846
ip.proto,0.7161168
tcp.hdr_len,0.7121201
ip.dsfield.dscp,0.71148646
tcp.flags.fin,0.70911384
eth.src.ig,0.70808333
tcp.flags.ece,0.7068673
ip.frag_offset,0.6964474
tcp.checksum,0.68883497
tcp.flags.ae,0.6850254
tls,0.6744534
tcp.flags.ack,0.67196053
ip.flags.rb,0.67066187
tcp.ack_raw,0.6644227
ip.checksum,0.6450062
tcp.flags.res,0.62617487
tcp.ack,0.6259876
tcp.seq,0.6125475
tcp.flags.push,0.59810936
ip.id,0.59549636
tcp.seq_raw,0.5715268
ip.dsfield.ecn,0.5145483
ip.flags.df,0.50288194
tcp.flags,0.50192904
ip.version,0.40807062
ip.dsfield,0.38109177
tcp.stream,0.36058253
ip.flags.mf,0.33591974
ip,0.30890343
tcp.flags.urg,0.18184303
statistics,0.17241871
